name,Channel_Name,Platform,Start_Year,Follower/Subscriber_count,Avg_Views_count,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,Engagement_Rate
Suresh Babu KA,SureshBabu_KCET,YouTube,1970,245000,30000,KCET,1,KCET Physics Shortcuts,yes,Telegram,om,12.24
Anitha Rao,AnithaRao_KCET,YouTube,1970,190000,23000,KCET,2,KCET Chemistry Reactions,yes,None,om,12.11
Ravi Shankar KA,RaviShankar_KCET,YouTube,1970,410000,52000,KCET,0,"KCET Rank Predictor, Counselling",yes,Instagram,om,12.68
Deepak Hegde,DeepakHegde_KCET,YouTube,1970,145000,18000,KCET,4,2PU Karnataka Maths,yes,"Instagram, Telegram",om,12.41
Pooja Shetty,PoojaShetty_KCET,YouTube,1970,98000,12500,KCET,3,"KCET Biology, PCB Stream",yes,"Instagram, Telegram",om,12.76
Manjunath BK,ManjunathBK_PU,YouTube,1970,165000,21000,KCET,1,"Karnataka PU Board, KCET Strategy",yes,"Instagram, Telegram",om,12.73
Geetha Krishnamurthy,Geetha_KCET,YouTube,1970,112000,14000,KCET,2,Organic Chemistry KCET,no,"Instagram, Telegram",om,12.5
Prashanth MN,PrashanthMN_COMEDK,YouTube,1970,280000,35000,COMEDK,0,"COMEDK Cutoff, Private College Guide KA",yes,"Telegram, Whatsapp",om,12.5
Vinay Kumar KA,VinayKumar_COMEDK,YouTube,1970,130000,16000,COMEDK,1,COMEDK Physics Mock Tests,yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.31
Arun Babu KL,ArunBabu_KEAM,YouTube,1970,215000,27000,KEAM,4,KEAM Mathematics PYQ,yes,No,om,12.56
Sreejith Nair,SreejithNair_KEAM,YouTube,1970,180000,22000,KEAM,1,KEAM Physics Shortcuts,yes,No,om,12.22
Meera Krishnan,MeeraKrishnan_KL,YouTube,1970,95000,12000,KEAM,2,Kerala KEAM Chemistry,yes,"Instagram, Facebook, Telegram",om,12.63
Jithin Jose,JithinJose_KEAM,YouTube,1970,88000,11000,KEAM,0,"KEAM Counselling, CEE Kerala",yes,No,om,12.5
Anju Mohan,AnjuMohan_KEAM,YouTube,1970,62000,8000,KEAM,4,"Kerala HSE Maths, KEAM Prep",no,"Instagram, Telegram, Facebook, Twitter",om,12.9
Vishnu Prasad KL,VishnuPrasad_KEAM,YouTube,1970,145000,18500,KEAM,3,"KEAM PCB, Pharmacy Admissions Kerala",yes,Telegram,om,12.76
Rajith Kumar,RajithKumar_Kerala,YouTube,1970,110000,14000,KEAM,1,Kerala +2 Board Prep,yes,None,om,12.73
Deepthi Sunil,DeepthiSunil_KL,YouTube,1970,75000,9500,KEAM,0,KEAM Rank Predictor,no,Instagram,om,12.67
Sanjith Mohan,SanjithMohan_KEAM,YouTube,1970,195000,25000,KEAM,4,KEAM Engineering Maths,yes,"Instagram, Telegram",om,12.82
Priyanka Pillai,PriyankaPillai_Kerala,YouTube,1970,58000,7200,KEAM,2,KEAM Chemistry PYQ,no,"Instagram, Telegram",om,12.41
Ramakrishna AP,RamakrishnaAP_EAPCET,YouTube,1970,290000,36000,AP EAPCET,4,"AP EAPCET Maths PYQ, Weightage Analysis",yes,"Instagram, Telegram",om,12.41
Subrahmanyam Rao,SubrahmanyamRao_AP,YouTube,1970,350000,44000,AP EAPCET,1,AP EAPCET Physics,yes,"Instagram, Telegram",om,12.57
Lakshmi Devi AP,LakshmiDevi_APEAPCET,YouTube,1970,180000,22000,AP EAPCET,2,AP EAPCET Organic Chemistry,yes,"Telegram, Whatsapp",om,12.22
Venkat Reddy,VenkatReddy_AP,YouTube,1970,220000,28000,AP EAPCET,0,"AP EAPCET Rank Predictor, Counselling",yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.73
Sridhar AP,SridharAP_EAPCET,YouTube,1970,155000,19000,AP EAPCET,3,AP EAPCET Bio PCB Stream,yes,No,om,12.26
Anitha Raju,AnithaRaju_AP,YouTube,1970,72000,9000,AP EAPCET,7,AP EAPCET PCB Pharmacy,no,No,om,12.5
Narasimha Rao,NarasimhaRao_AP,YouTube,1970,420000,53000,AP EAPCET,4,Inter AP Maths Board + EAPCET,yes,"Instagram, Facebook, Telegram",om,12.62
Priya Kumari AP,PriyaKumari_APEAPCET,YouTube,1970,98000,12500,AP EAPCET,0,APEAPCET Mock Tests,yes,No,om,12.76
Kiran Babu AP,KiranBabu_AP,YouTube,1970,260000,33000,AP EAPCET,1,AP Inter + EAPCET Physics,yes,"Instagram, Telegram, Facebook, Twitter",om,12.69
Padmaja Reddy,PadmajaReddy_AP,YouTube,1970,88000,11000,AP EAPCET,3,AP PCB Allied Pharmacy,no,Telegram,om,12.5
Ravi Chandra TS,RaviChandra_TGEAPCET,YouTube,1970,310000,39000,TG EAPCET,4,TS EAPCET Maths Previous Papers,yes,None,om,12.58
Krishnaveni TS,Krishnaveni_TG,YouTube,1970,175000,22000,TG EAPCET,2,"TS Inter Chemistry, EAPCET Organic",yes,Instagram,om,12.57
Sudheer Reddy TG,SudheerReddy_TG,YouTube,1970,265000,33000,TG EAPCET,1,TG EAPCET Physics Mock,yes,"Instagram, Telegram",om,12.45
Manjula TS,ManjulaTS_EAPCET,YouTube,1970,112000,14000,TG EAPCET,3,TG EAPCET PCB Biology,yes,"Instagram, Telegram",om,12.5
Sai Ram TS,SaiRam_TGEAPCET,YouTube,1970,68000,8500,TG EAPCET,0,"TS EAPCET Counselling, Rank",no,"Instagram, Telegram",om,12.5
Anusha Sharma TS,AnushaSharmaTG,YouTube,1970,198000,25000,TG EAPCET,4,TS EAPCET Maths Shortcuts,yes,"Instagram, Telegram",om,12.63
Bhaskar Rao TG,BhaskarRao_TG,YouTube,1970,235000,29000,TG EAPCET,0,TS EAPCET Rank Estimator,yes,"Telegram, Whatsapp",om,12.34
Rekha Naidu,RekhaNaidu_TS,YouTube,1970,145000,18000,TG EAPCET,2,TG EAPCET Pharmacy PCB,yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.41
Srikanth TS,Srikanth_TGEAPCET,YouTube,1970,98000,12500,TG EAPCET,1,TS Inter Physics Board,no,No,om,12.76
Padma TS,PadmaTS_Bio,YouTube,1970,55000,7000,TG EAPCET,3,EAPCET Biology Revision,no,No,om,12.73
Nisha Sharma Nursing,NishaSharma_AiimsNursing,YouTube,1970,185000,23000,AIIMS B.Sc Nursing,3,"AIIMS Nursing Entrance, GNM vs B.Sc",yes,"Instagram, Facebook, Telegram",om,12.43
Dr Renu Verma,DrRenuVerma_Nursing,YouTube,1970,145000,18000,AIIMS B.Sc Nursing,5,"AIIMS Nursing PYQ, Anatomy",yes,No,om,12.41
Sunita Rani Nursing,SunitaRani_AiimsNsg,YouTube,1970,98000,12500,AIIMS B.Sc Nursing,3,AIIMS Nursing Biology Revision,yes,"Instagram, Telegram, Facebook, Twitter",om,12.76
Pooja Gupta Nursing,PoojaGupta_Nursing,YouTube,1970,220000,28000,AIIMS B.Sc Nursing,0,AIIMS BSc Nursing Mock Tests,yes,Telegram,om,12.73
Anita Singh Nsg,AnitaSingh_AiimsNsg,YouTube,1970,72000,9000,AIIMS B.Sc Nursing,5,AIIMS Nursing GK Current Affairs,no,None,om,12.5
Meenakshi Devi,Meenakshi_AiimsNsg,YouTube,1970,110000,14000,AIIMS B.Sc Nursing,3,AIIMS Nursing Human Anatomy,yes,Instagram,om,12.73
Kavita Pandey Nsg,KavitaPandey_Nursing,YouTube,1970,165000,21000,AIIMS B.Sc Nursing,3,AIIMS Nursing Biochemistry Tips,yes,"Instagram, Telegram",om,12.73
Rekha Singh Nsg,RekhaSingh_AiimsNsg,YouTube,1970,88000,11000,AIIMS B.Sc Nursing,5,AIIMS BSc Nursing Counselling,no,"Instagram, Telegram",om,12.5
Priya Dubey Nsg,PriyaDubey_Nursing,YouTube,1970,55000,7000,AIIMS B.Sc Nursing,3,Nursing Entrance Biology Shortcuts,no,"Instagram, Telegram",om,12.73
Suman Lata Nursing,SumanLata_AiimsNsg,YouTube,1970,195000,24000,AIIMS B.Sc Nursing,0,AIIMS Nursing Score Booster,yes,"Instagram, Telegram",om,12.31
Dr Anand Kumar Nsg,DrAnandKumar_JIPMER,YouTube,1970,155000,19000,JIPMER Nursing,3,JIPMER Nursing Entrance Guide,yes,"Telegram, Whatsapp",om,12.26
Bhavana Murthy,BhavanaMurthy_JIPMER,YouTube,1970,92000,11500,JIPMER Nursing,3,JIPMER Nursing Biology PYQ,yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.5
Saranya S,SaranyaS_JIPMERNsg,YouTube,1970,68000,8500,JIPMER Nursing,5,JIPMER BSc Nursing Syllabus,no,No,om,12.5
Latha R Nursing,Latha_JIPMERNsg,YouTube,1970,125000,16000,JIPMER Nursing,0,JIPMER Nursing Mock Tests,yes,No,om,12.8
Revathi Krishnan,RevathiKrishnan_JIPMER,YouTube,1970,48000,6000,JIPMER Nursing,3,JIPMER Nursing Anatomy,no,"Instagram, Facebook, Telegram",om,12.5
Vimala Thomas,VimalaThomas_Nursing,YouTube,1970,82000,10500,JIPMER Nursing,5,JIPMER Nursing Physiology Tips,yes,No,om,12.8
Geetha Pillai,GeethaPillai_JIPMER,YouTube,1970,115000,14500,JIPMER Nursing,3,JIPMER Nursing Strategy,yes,"Instagram, Telegram, Facebook, Twitter",om,12.61
Deepa Menon,DeepaMenon_JIPMER,YouTube,1970,75000,9500,JIPMER Nursing,0,JIPMER Rank vs Seat Guide,no,Telegram,om,12.67
Sumathi Raman,SumathiRaman_JIPMER,YouTube,1970,145000,18000,JIPMER Nursing,3,JIPMER Nursing Biochem,yes,None,om,12.41
Chitra Nair,ChitraNair_JIPMER,YouTube,1970,52000,6500,JIPMER Nursing,5,JIPMER Nursing Counselling,no,Instagram,om,12.5
Dr Suja Thomas,DrSujaThomas_CMC,YouTube,1970,175000,22000,CMC Vellore,5,CMC Vellore Nursing Entrance,yes,"Instagram, Telegram",om,12.57
Jacob Mathew CMC,JacobMathew_CMC,YouTube,1970,135000,17000,CMC Vellore,0,CMC Allied Health Admissions,yes,"Instagram, Telegram",om,12.59
Annie George,AnnieGeorge_CMCVellore,YouTube,1970,95000,12000,CMC Vellore,5,CMC Vellore Nursing Syllabus,yes,"Instagram, Telegram",om,12.63
Samuel Raj,SamuelRaj_CMC,YouTube,1970,72000,9000,CMC Vellore,3,CMC Entrance Biology Tips,no,"Instagram, Telegram",om,12.5
Jeeva Priya,JeevaP_CMCVellore,YouTube,1970,155000,19500,CMC Vellore,6,CMC Allied Health Courses,yes,"Telegram, Whatsapp",om,12.58
Grace Emmanuel,GraceEmmanuel_CMC,YouTube,1970,88000,11000,CMC Vellore,5,"CMC Nursing Interviews, GD Prep",yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.5
Ruth Daniel CMC,RuthDaniel_CMC,YouTube,1970,48000,6000,CMC Vellore,6,"CMC OT Technician, Lab Tech",no,No,om,12.5
Elijah Kurien,ElijahKurien_CMC,YouTube,1970,115000,14500,CMC Vellore,5,CMC Vellore Score Cutoff,yes,No,om,12.61
Mary Sosa CMC,MarySosa_CMC,YouTube,1970,65000,8000,CMC Vellore,3,CMC Nursing Biology Revision,no,"Instagram, Facebook, Telegram",om,12.31
Philip John CMC,PhilipJohn_CMC,YouTube,1970,145000,18000,CMC Vellore,0,CMC Vellore Admission Process,yes,No,om,12.41
Sameer Kulkarni,SameerKulkarni_BVPCET,YouTube,1970,125000,16000,BVP CET,6,"BVP CET Allied Health, Pune",yes,"Instagram, Telegram, Facebook, Twitter",om,12.8
Sneha Desai BVP,SnehaDesai_BVPCET,YouTube,1970,88000,11000,BVP CET,3,BVP CET Biology Prep,yes,Telegram,om,12.5
Rohan Patil BVP,RohanPatil_BVP,YouTube,1970,65000,8000,BVP CET,0,"BVP CET Mock Tests, Syllabus",no,None,om,12.31
Prachi Joshi BVP,PrachiJoshi_BVP,YouTube,1970,145000,18000,BVP CET,5,BVP Nursing Entrance Guide,yes,Instagram,om,12.41
Nikhil More BVP,NikhilMore_BVP,YouTube,1970,48000,6000,BVP CET,6,BVP CET Physiotherapy Admissions,no,"Instagram, Telegram",om,12.5
Amrita Shinde,AmritaShinde_BVP,YouTube,1970,110000,14000,BVP CET,3,BVP CET Bio Revision,yes,"Instagram, Telegram",om,12.73
Tushar Pawar BVP,TusharPawar_BVP,YouTube,1970,78000,10000,BVP CET,0,BVP CET College List Maharashtra,yes,"Instagram, Telegram",om,12.82
Pooja Deshpande,PoojaD_BVP,YouTube,1970,58000,7200,BVP CET,6,BVP CET Radiology Tech,no,"Instagram, Telegram",om,12.41
Akash Nakade,AkashNakade_BVP,YouTube,1970,135000,17000,BVP CET,3,BVP CET Biology Full Course,yes,"Telegram, Whatsapp",om,12.59
Kavya Marathe,KavyaMarathe_BVP,YouTube,1970,45000,5500,BVP CET,5,BVP Nursing Syllabus Tips,no,"Instagram, Telegram, Facebook, Twitter/X",om,12.22
Arjun Mishra CUET,ArjunMishra_CUET,YouTube,1970,195000,24000,CUET-UG,6,CUET Allied Health Domain Prep,yes,No,om,12.31
Divya Sharma CUET,DivyaSharma_CUET,YouTube,1970,165000,21000,CUET-UG,8,CUET Biotech Domain Subject,yes,No,om,12.73
Ankit Tiwari CUET,AnkitTiwari_CUET,YouTube,1970,135000,17000,CUET-UG,6,CUET UG Healthcare Domain,yes,"Instagram, Facebook, Telegram",om,12.59
Sneha Rastogi,SnehaRastogi_CUET,YouTube,1970,112000,14000,CUET-UG,9,CUET Biology Life Science,yes,No,om,12.5
Vikram Jha CUET,VikramJha_CUET,YouTube,1970,88000,11000,CUET-UG,8,CUET Biotechnology Full Syllabus,no,"Instagram, Telegram, Facebook, Twitter",om,12.5
Priya Mehta CUET,PriyaMehta_CUET,YouTube,1970,145000,18000,CUET-UG,6,CUET Allied Health Crash Course,yes,Telegram,om,12.41
Rahul Singh CUET,RahulSingh_CUET,YouTube,1970,98000,12500,CUET-UG,9,CUET Biology Biomedical,yes,None,om,12.76
Isha Verma CUET,IshaVerma_CUET,YouTube,1970,125000,16000,CUET-UG,8,CUET Biotech Mock Tests,yes,Instagram,om,12.8
Deepak Pandey CUET,DeepakPandey_CUET,YouTube,1970,78000,9500,CUET-UG,6,"CUET Physiotherapy, OT Domain",no,"Instagram, Telegram",om,12.18
Mansi Agarwal CUET,MansiAgarwal_CUET,YouTube,1970,155000,19500,CUET-UG,9,CUET Bio Domain Shortcuts,yes,"Instagram, Telegram",om,12.58
Dr Sanjay Biotechnology,DrSanjay_Biotech,YouTube,1970,385000,48000,Biotechnology,8,"Molecular Biology, Genetic Engineering",yes,"Instagram, Telegram",om,12.47
Priya Biotech,PriyaBiotech_Channel,YouTube,1970,245000,31000,Biotechnology,9,"Cell Biology, Biochemistry",yes,"Instagram, Telegram",om,12.65
Akash Biomedical,Akash_Biomedical,YouTube,1970,195000,24000,Biomedical,10,"Biomedical Devices, GATE BT",yes,"Telegram, Whatsapp",om,12.31
Riya Life Sciences,Riya_LifeSciences,YouTube,1970,148000,18500,Life Sciences,9,"NET Life Sciences, GATE BT",yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.5
Sourav Bioscience,Sourav_Bioscience,YouTube,1970,225000,28000,Biotechnology,8,"CSIR NET Life Science, Biotech UG",yes,No,om,12.44
Tanvi Biochem,Tanvi_Biochem,YouTube,1970,112000,14000,Biotechnology,13,"Biochemistry for CUET, GATE",yes,No,om,12.5
Neeraj Microbiology,Neeraj_Micro,YouTube,1970,175000,22000,Life Sciences,12,"Microbiology for CUET, NET",yes,"Instagram, Facebook, Telegram",om,12.57
Shreya Genetics,Shreya_Genetics,YouTube,1970,135000,17000,Biotechnology,14,Genetics for Biotech Entrance,yes,No,om,12.59
Ravi Biotech KA,RaviBiotech_KA,YouTube,1970,165000,21000,KCET (PCB),8,"KCET PCB Biotech, Life Sci",yes,"Instagram, Telegram, Facebook, Twitter",om,12.73
Manya Life Science,Manya_LifeSci,YouTube,1970,88000,11000,Life Sciences,9,"ICAR, JNU Life Science Entrance",yes,Telegram,om,12.5
Ranjith Pharmacy KA,Ranjith_PharmacyKCET,YouTube,1970,155000,19000,KCET (PCB),7,KCET Pharmacy Admissions KA,yes,None,om,12.26
Shwetha Gowda Pharma,ShwethaGowda_Pharma,YouTube,1970,112000,14000,KCET (PCB),7,"Karnataka Pharmacy Colleges, KCET",yes,Instagram,om,12.5
Harish Medi KA,Harish_MediKCET,YouTube,1970,195000,24000,KCET (PCB),15,KCET Health Science Stream,yes,"Instagram, Telegram",om,12.31
Kavitha Nursing KA,Kavitha_NursingKCET,YouTube,1970,88000,11000,KCET (PCB),5,KCET Nursing Admission KA,yes,"Instagram, Telegram",om,12.5
Preethi Pharma KA,Preethi_PharmKCET,YouTube,1970,65000,8000,KCET (PCB),7,"KCET D.Pharm, B.Pharm Seats",no,"Instagram, Telegram",om,12.31
Vivek Rao KCET,VivekRao_KCETPCB,YouTube,1970,145000,18000,KCET (PCB),3,KCET PCB Biology Full Revision,yes,"Instagram, Telegram",om,12.41
Divya Reddy KA,DivyaReddy_KCETPCB,YouTube,1970,98000,12500,KCET (PCB),2,KCET PCB Chemistry Organic,yes,"Telegram, Whatsapp",om,12.76
Rohit Kumar KA,RohitKumar_KCETPCB,YouTube,1970,72000,9000,KCET (PCB),0,KCET PCB Mock Tests,no,"Instagram, Telegram, Facebook, Twitter/X",om,12.5
Ananya Shetty,AnanyaShetty_KCET,YouTube,1970,175000,22000,KCET (PCB),3,KCET Nursing+Pharmacy Guide,yes,No,om,12.57
Tejas Nayak,TejasNayak_KCET,YouTube,1970,55000,7000,KCET (PCB),7,KCET Pharmacy Rank Predictor,no,No,om,12.73
Akhil Menon Pharma,AkhilMenon_KEAMPCB,YouTube,1970,135000,17000,KEAM (PCB),7,KEAM PCB Pharmacy Admissions KL,yes,"Instagram, Facebook, Telegram",om,12.59
Sindhu Rajan Pharma,SindhuRajan_KEAM,YouTube,1970,98000,12500,KEAM (PCB),6,KEAM Allied Health Courses KL,yes,No,om,12.76
Jibin Jose KEAM,JibinJose_KEAMPCB,YouTube,1970,72000,9000,KEAM (PCB),7,Kerala Pharmacy Entrance,no,"Instagram, Telegram, Facebook, Twitter",om,12.5
Aswini Krishnan,AswiniKrishnan_KEAM,YouTube,1970,158000,20000,KEAM (PCB),3,KEAM PCB Biology Revision,yes,Telegram,mayur,12.66
Reshma Nair Pharma,ReshmaNair_KEAM,YouTube,1970,55000,7000,KEAM (PCB),7,KEAM D.Pharm Guide Kerala,no,None,mayur,12.73
Bibin Mathew,BibinMathew_KEAM,YouTube,1970,118000,15000,KEAM (PCB),2,KEAM PCB Chemistry,yes,Instagram,mayur,12.71
Nimisha George,NimishaGeorge_KEAM,YouTube,1970,88000,11000,KEAM (PCB),6,KEAM Allied Health Kerala,yes,"Instagram, Telegram",mayur,12.5
Roshan Paul KL,RoshanPaul_KEAM,YouTube,1970,65000,8000,KEAM (PCB),3,KEAM PCB Bio Shortcuts,no,"Instagram, Telegram",mayur,12.31
Parvathy S,ParvathyS_KEAM,YouTube,1970,145000,18000,KEAM (PCB),7,KEAM Pharmacy Rank Guide,yes,"Instagram, Telegram",mayur,12.41
Sanoj Thomas,SanojThomas_KEAM,YouTube,1970,48000,6000,KEAM (PCB),0,KEAM PCB Counselling,no,"Instagram, Telegram",mayur,12.5
Sowmya Reddy AP,SowmyaReddy_APEAPCETPCB,YouTube,1970,148000,18500,AP EAPCET (PCB),7,AP EAPCET PCB Pharmacy Guide,yes,"Telegram, Whatsapp",mayur,12.5
Kamala Rani AP,KamalaRani_APPharma,YouTube,1970,112000,14000,AP EAPCET (PCB),6,AP Allied Health Courses Admissions,yes,"Instagram, Telegram, Facebook, Twitter/X",mayur,12.5
Srinivas AP Pharma,Srinivas_APPharmacy,YouTube,1970,195000,24000,AP EAPCET (PCB),7,"AP Pharmacy Colleges, EAPCET Rank",yes,No,mayur,12.31
Vijayalakshmi AP,Vijayalakshmi_APPharma,YouTube,1970,88000,11000,AP EAPCET (PCB),3,AP EAPCET PCB Biology Full,yes,No,mayur,12.5
Madhu Babu AP,MadhuBabu_APPharma,YouTube,1970,65000,8000,AP EAPCET (PCB),7,AP D.Pharm B.Pharm Seats,no,"Instagram, Facebook, Telegram",mayur,12.31
Saritha Devi AP,SarithaDevi_AP,YouTube,1970,125000,16000,AP EAPCET (PCB),6,AP EAPCET Nursing Allied,yes,No,mayur,12.8
Prasad Rao AP,PrasadRao_APBio,YouTube,1970,165000,21000,AP EAPCET (PCB),3,AP Inter PCB + EAPCET,yes,"Instagram, Telegram, Facebook, Twitter",mayur,12.73
Bhavani AP,Bhavani_APEAPCETPCB,YouTube,1970,98000,12500,AP EAPCET (PCB),0,AP EAPCET PCB Counselling,no,Telegram,mayur,12.76
Naveen Babu AP,NaveenBabu_APPharma,YouTube,1970,75000,9500,AP EAPCET (PCB),7,AP EAPCET Pharmacy Cutoffs,no,None,mayur,12.67
Lalitha AP,Lalitha_APAllied,YouTube,1970,155000,19500,AP EAPCET (PCB),6,AP EAPCET Allied Health Guide,yes,Instagram,mayur,12.58
Swapna TS Pharma,SwapnaTS_TGPharma,YouTube,1970,138000,17000,TG EAPCET (PCB),7,TG EAPCET PCB Pharmacy Guide,yes,"Instagram, Telegram",mayur,12.32
Venu Gopal TS,VenuGopal_TGPharma,YouTube,1970,105000,13000,TG EAPCET (PCB),6,TS Allied Pharmacy Courses,yes,"Instagram, Telegram",mayur,12.38
Ramya TS Pharma,Ramya_TGPharmacy,YouTube,1970,175000,22000,TG EAPCET (PCB),7,TG EAPCET Pharmacy Rank,yes,"Instagram, Telegram",mayur,12.57
Keerthi Reddy TG,Keerthi_TGPharma,YouTube,1970,88000,11000,TG EAPCET (PCB),3,TG EAPCET PCB Biology Tips,yes,"Instagram, Telegram",mayur,12.5
Praveen Kumar TG,Praveen_TGAllied,YouTube,1970,62000,7800,TG EAPCET (PCB),6,TS Pharmacy Allied Admissions,no,"Telegram, Whatsapp",mayur,12.58
Sunitha TS,Sunitha_TGPharma,YouTube,1970,118000,15000,TG EAPCET (PCB),2,TG EAPCET Pharmacy Chemistry,yes,"Instagram, Telegram, Facebook, Twitter/X",mayur,12.71
Ramu TS Pharmacy,Ramu_TSPharmacy,YouTube,1970,165000,21000,TG EAPCET (PCB),0,TS Pharmacy Colleges Rank List,yes,No,mayur,12.73
Anitha Reddy TG,AnithaReddy_TGPharma,YouTube,1970,95000,12000,TG EAPCET (PCB),6,TG EAPCET Allied Health Guide,yes,No,mayur,12.63
Balaji TS,Balaji_TGPharma,YouTube,1970,72000,9000,TG EAPCET (PCB),7,TS D.Pharm B.Pharm Seats,no,"Instagram, Facebook, Telegram",mayur,12.5
Priyanka TS,Priyanka_TGAllied,YouTube,1970,148000,18500,TG EAPCET (PCB),3,TG EAPCET PCB Counselling,yes,No,mayur,12.5
Nirmala Devi Nursing,NirmalaDevi_NsgState,YouTube,1970,165000,21000,State B.Sc Nursing,5,State Nursing Entrance Exams India,yes,"Instagram, Telegram, Facebook, Twitter",mayur,12.73
Shalini Sharma Nsg,ShaliniSharma_Nsg,YouTube,1970,125000,16000,State B.Sc Nursing,3,"UP CPNET, HP Nursing Entrance",yes,Telegram,mayur,12.8
Jaya Priya Nursing,JayaPriya_Nursing,YouTube,1970,195000,24000,State B.Sc Nursing,5,"Maharashtra, TN State Nursing",yes,None,mayur,12.31
Padma Nurse,Padma_NursingState,YouTube,1970,95000,12000,State B.Sc Nursing,3,GNM vs B.Sc Nursing Guide,yes,Instagram,mayur,12.63
Kavitha Nsg TN,Kavitha_NsgTN,YouTube,1970,68000,8500,State B.Sc Nursing,5,Tamil Nadu Nursing Entrance,no,"Instagram, Telegram",mayur,12.5
Lathika R Nursing,Lathika_Nursing,YouTube,1970,148000,18500,State B.Sc Nursing,0,State Nursing Counselling Guide,yes,"Instagram, Telegram",mayur,12.5
Bhavani Nsg,Bhavani_NursingState,YouTube,1970,175000,22000,State B.Sc Nursing,5,"KA, AP, TN Nursing Entrance",yes,"Instagram, Telegram",mayur,12.57
Rekha Nurse KL,Rekha_NsgKerala,YouTube,1970,112000,14000,State B.Sc Nursing,5,Kerala Nursing Entrance CEE,yes,"Instagram, Telegram",mayur,12.5
Sumathi Nsg TN,Sumathi_NsgTN,YouTube,1970,78000,9800,State B.Sc Nursing,3,TN Nursing Entrance Prep,no,"Telegram, Whatsapp",mayur,12.56
Mala Singh Nsg,MalaSingh_Nsg,YouTube,1970,158000,20000,State B.Sc Nursing,0,North India State Nursing Entrance,yes,"Instagram, Telegram, Facebook, Twitter/X",mayur,12.66
EduHub South,EduHubSouth,YouTube,1970,580000,72000,Multi-State Exam,0,"KCET, TNEA, AP, TG Combined Prep",yes,No,mayur,12.41
State Entrance Academy,StateEntranceAcademy,YouTube,1970,720000,90000,Multi-State Exam,0,All South State Exams Coverage,yes,No,mayur,12.5
Med Allied Hub,MedAlliedHub,YouTube,1970,410000,52000,Allied Health/Nursing,0,"AIIMS, JIPMER, CMC, BVP Nursing",yes,"Instagram, Facebook, Telegram",mayur,12.68
Nursing Entrance India,NursingEntranceIndia,YouTube,1970,325000,41000,State B.Sc Nursing,5,Pan-India Nursing Entrance Guide,yes,No,mayur,12.62
Pharma Career Guide,PharmaCareerGuide,YouTube,1970,295000,37000,Pharmacy,7,"GPAT, State Pharmacy Entrances",yes,"Instagram, Telegram, Facebook, Twitter",mayur,12.54
Allied Health Mentor,AlliedHealthMentor,YouTube,1970,268000,33000,Allied Health,6,"CUET Allied, BVP CET, CMC Allied",yes,Telegram,mayur,12.31
Biotech Dreams India,BiotechDreamsIndia,YouTube,1970,395000,49000,Biotechnology,8,"CUET Biotech, KCET PCB Biotech",yes,None,mayur,12.41
South Engineering Hub,SouthEngineeringHub,YouTube,1970,445000,56000,Multi-State Exam,4,"KCET, COMEDK, KEAM, AP, TG, TNEA",yes,Instagram,mayur,12.58
Kerala Med Guide,KeralamedGuide,YouTube,1970,215000,27000,KEAM (PCB),0,"KEAM PCB Pharmacy, Nursing Kerala",yes,"Instagram, Telegram",mayur,12.56
AP TG Exam Hub,APTGExamHub,YouTube,1970,380000,48000,AP EAPCET / TG EAPCET,0,AP & TG EAPCET Combined Prep,yes,"Instagram, Telegram",mayur,12.63
Karnataka Entrance Pro,KarnatakaEntrancePro,YouTube,1970,465000,58000,KCET / COMEDK,0,KCET+COMEDK Complete Strategy,yes,"Instagram, Telegram",mayur,12.47
TN Board Expert,TNBoardExpert,YouTube,1970,340000,43000,TNEA,0,TN State Board + TNEA Counselling,yes,"Instagram, Telegram",mayur,12.65
NATA Prep India,NATAPrepIndia,YouTube,1970,148000,18500,NATA,11,"NATA Drawing, Aesthetic Sensitivity",yes,"Telegram, Whatsapp",mayur,12.5
COMEDK Secrets,COMEDKSecrets,YouTube,1970,198000,25000,COMEDK,0,"COMEDK Strategy, Private Eng KA",yes,"Instagram, Telegram, Facebook, Twitter/X",mayur,12.63
B.Sc Nursing Nation,BScNursingNation,YouTube,1970,510000,64000,State B.Sc Nursing,5,Pan India Nursing Entrance Complete,yes,No,mayur,12.55
Life Science Masters,LifeScienceMasters,YouTube,1970,365000,46000,Life Sciences,9,"NET, GATE BT, CUET Life Science",yes,No,mayur,12.6
Biomedical Pathways,BiomedicalPathways,YouTube,1970,228000,28500,Biomedical,10,"Biomedical Entrance, CUET BioMed",yes,"Instagram, Facebook, Telegram",mayur,12.5
Pharma Prep South,PharmaPrepSouth,YouTube,1970,285000,35500,Pharmacy,7,"KCET, KEAM, AP, TG Pharmacy PCB",yes,No,mayur,12.46
Health Science Hub,HealthScienceHub,YouTube,1970,425000,53000,Allied Health,6,"CMC, BVP, CUET Allied All States",yes,"Instagram, Telegram, Facebook, Twitter",mayur,12.47
